职位,公司简称,工作地点,薪资,工作经验,学历,技能标签,行业,融资状况,公司人数
图像处理算法工程师,碧桂园,广州·番禺区,25-50K,经验不限,硕士,"图像处理,深度学习",房地产开发,已上市,10000人以上
搜索算法工程师,腾讯,广州,30-60K,3-5年,本科,"搜索算法,深度学习算法,自然语言处理,推荐算法,Python,C++,TensorFlow,PyTorch",互联网,已上市,10000人以上
政务应用交付架构师,腾讯,广州·海珠区,40-70K·18薪,5-10年,本科,"Java,系统架构,需求分析",互联网,已上市,10000人以上
图形学/3D视觉算法工程师,网易杭州,广州,25-50K·16薪,经验不限,本科,"视觉图像算法,深度学习算法,运动控制算法,TensorFlow,Caffe,PyTorch,人工智能",互联网,已上市,10000人以上
智能算法专家,网易游戏,广州·天河区,30-50K,3-5年,本科,"算法设计,自然语言处理,深度学习算法,推荐算法,搜索算法",游戏,已上市,10000人以上
算法工程师,碧桂园房地产有限公司,广州·番禺区,25-50K,3-5年,本科,"算法,人工智能",房地产开发,已上市,10000人以上
IoT安全架构师,美的it,广州·番禺区,30-60K·15薪,5-10年,本科,"网络安全,信息安全,安全",计算机软件,已上市,10000人以上
杭州阿里巴巴招聘高级Java开发工程师,阿里巴巴集团,广州·花都区,28-55K,3-5年,本科,"Java,分布式技术,网络协议,NoSQL,架构师,电子商务,供应链",互联网,不需要融资,10000人以上
资深数据开发工程师/专家（GZ）,阿里巴巴集团,广州·天河区,25-50K,3-5年,本科,"ETL,数据仓库,数据分析",互联网,不需要融资,10000人以上
JAVA高级开发工程师/技术专家-CBU技术部,阿里巴巴集团,广州,25-50K·16薪,3-5年,本科,"Java,分布式技术,负载均衡技术,架构师,计算机软件,大数据,云计算,SaaS",互联网,不需要融资,10000人以上
资深服务端开发,网易,广州·天河区,25-50K·16薪,3-5年,本科,"C++,Python,Go,NoSQL,MongoDB,游戏,golang",移动互联网,已上市,10000人以上
微视前端职位,腾讯,广州·海珠区,27-50K·14薪,3-5年,本科,"Node.js,JavaScript,HTML,Vue,React,Web端,小程序",互联网,已上市,10000人以上
政务大数据解决方案架构师,腾讯,广州·海珠区,25-50K,5-10年,本科,"规划咨询,数据分析,数据仓库",互联网,已上市,10000人以上
三维视觉算法工程师,碧桂园,广州·番禺区,25-50K,经验不限,硕士,C++,房地产开发,已上市,10000人以上
WXG07-QQ邮箱后台开发工程师,腾讯,广州·海珠区,30-60K·18薪,5-10年,本科,C/C++,互联网,已上市,10000人以上
WXG07-数据挖掘算法工程师（广州）,腾讯,广州·海珠区,30-60K·18薪,5-10年,本科,"C/C++,Java,Python",互联网,已上市,10000人以上
后台开发工程师-抖音,今日头条,广州·天河区,30-60K,经验不限,本科,"C/C++,后端开发,Java",移动互联网,D轮及以上,10000人以上
政务云交付架构师,腾讯,广州·越秀区,40-70K,5-10年,本科,"系统架构,运维管理,高级技术管理",互联网,已上市,10000人以上
运动控制算法工程师,碧桂园,广州·番禺区,35-50K·15薪,经验不限,硕士,"数据分析,算法,深度学习",工程施工,不需要融资,10000人以上
技术专家/资深开发,阿里巴巴集团,广州·天河区,26-50K,3-5年,学历不限,"中间件,后端开发,系统架构",互联网,不需要融资,10000人以上
数据挖掘工程师(广州)(腾讯WiFi管家),腾讯,广州·天河区,25-50K,3-5年,本科,机器学习,互联网,已上市,10000人以上
公安行业解决方案专家,腾讯,广州,30-60K,10年以上,本科,"售前工程师,云计算,政府业务规划,公安、检察院、法院,社会治理,公安大数据,智慧社区,汇智、烽火、佳都科技",互联网,已上市,10000人以上
Java「杭州西溪园区」,阿里巴巴集团,广州·从化区,25-50K·16薪,3-5年,本科,"Java,Hadoop,Spark,分布式技术,架构师,算法设计,大数据,电子商务",互联网,不需要融资,10000人以上
高级数据分析经理,网易游戏,广州·天河区,30-50K,5-10年,本科,"大数据,数据分析,Python,SQL",游戏,已上市,10000人以上
unity专家（引擎方向）,网易游戏,广州,25-50K·16薪,5-10年,本科,"U3D开发,游戏引擎",游戏,已上市,10000人以上
Java技术专家,蚂蚁金服,广州·天河区,25-50K,5-10年,学历不限,"Java,分布式技术,Linux,电子商务,支付",互联网,不需要融资,10000人以上
高级技术专家（深圳，杭州）,阿里巴巴集团,广州·天河区,30-60K,5-10年,学历不限,"Java,SQL,Shell,Spring,MySQL,Oracle,Linux,云计算",互联网,不需要融资,10000人以上
解决方案架构师,腾讯,广州,30-60K·18薪,3-5年,本科,"产品、方案培训推广,公安、教育、交通,党建、税务、水利,工商、国土、住建,大型综合项目规划",互联网,已上市,10000人以上
高级Java开发工程师（千玺机器人餐饮）,碧桂园房地产有限公司,广州·天河区,30-50K·15薪,5-10年,本科,"Java,Spring,分布式技术,服务器配置,容器技术,MySQL,Redis,Web端",房地产开发,已上市,10000人以上
高级前端/前端专家(2-7年经验-GZ),阿里巴巴集团,广州·番禺区,25-50K·16薪,3-5年,本科,"前端开发,全栈开发,JavaScript,Objective-C,Java,移动端,Web端,小程序",互联网,不需要融资,10000人以上
高级开发工程师（语音识别/合成方向）,网易杭州,广州,25-50K·16薪,经验不限,本科,"深度学习算法,语音算法,算法设计,Python,TensorFlow,Caffe,人工智能",互联网,已上市,10000人以上
技术美术（TA）,阿里巴巴集团,广州·海珠区,45-65K,10年以上,硕士,"游戏引擎,U3D开发,UE4开发,Technical Ar",互联网,不需要融资,10000人以上
数据分析经理（电商方向）,网易,广州,40-60K,5-10年,本科,"数据仓库,SQL,Python,分布式技术,大数据,电子商务",移动互联网,已上市,10000人以上
数据分析总监,网易,广州,40-70K·16薪,经验不限,学历不限,"Python,MySQL,分布式技术,Hadoop,电子商务",移动互联网,已上市,10000人以上
资深服务器开发工程师,网易杭州,广州,25-50K·16薪,经验不限,本科,"C++,Python,Go,NoSQL,MongoDB,游戏",互联网,已上市,10000人以上
企业微信分布式架构后台高级工程师（广州）,腾讯,广州·海珠区,25-50K·16薪,3-5年,本科,"C++,Linux,分布式技术,架构师",互联网,已上市,10000人以上
WXG-企业微信Linux C/C++后台开发工程师,腾讯,广州·海珠区,30-60K·18薪,3-5年,本科,"C/C++,Linux,高并发",互联网,已上市,10000人以上
WXG-企业微信PC端开发工程师,腾讯,广州·海珠区,30-60K·18薪,3-5年,本科,"windows,C/C++,sqlite",互联网,已上市,10000人以上
资深售前工程师 (数据库方向) 广州/深圳,甲骨文,广州·天河区,25-50K,10年以上,大专,"Oracle数据库,Exdata,OCM",计算机软件,已上市,10000人以上
技术美术,网易游戏,广州·天河区,25-50K·16薪,3-5年,本科,"技术美术,UE4",游戏,已上市,10000人以上
UC事业部-Android技术专家,阿里巴巴集团,广州·天河区,25-50K,3-5年,本科,"Android SDK,Android Studio,react-native",互联网,不需要融资,10000人以上
UC国际高级前端、前端专家,阿里巴巴集团,广州·天河区,25-50K,经验不限,大专,"react,node.js,typescript",互联网,不需要融资,10000人以上
交付项目经理,腾讯,广州·海珠区,40-70K·18薪,5-10年,本科,"PMP,文档,项目管理",互联网,已上市,10000人以上
导航算法工程师 （激光SLAM\定位方向）,碧桂园,广州·番禺区,25-50K,5-10年,硕士,"slam,ubuntu",房地产开发,已上市,10000人以上
资深Java开发工程师/技术专家,蚂蚁金服,广州,28-55K·16薪,3-5年,本科,"Java,Node.js,全栈开发,后端开发,架构师,云计算,分布式技术,SaaS",互联网,不需要融资,10000人以上
5G物联网技术支持总监,胜通和,广州·天河区,35-60K,应届生,博士,"IT技术支持,博士岗位",人力资源服务,不需要融资,10000人以上
云计算大客户架构师-广州,京东集团,广州,25-50K·14薪,5-10年,本科,"云计算,技术经理,项目管理,游戏",电子商务,已上市,10000人以上
Web前端开发工程师,腾讯,广州·天河区,30-60K·16薪,5-10年,本科,"前端开发,Node.js,JavaScript,HTML,CSS,Python,Shell,Vue",互联网,已上市,10000人以上
